126
100 100
60 55 10
60 65 10
60 75 10
60 85 10
60 95 10
60 105 10
60 115 10
60 125 10
60 135 10
60 145 10
150 55 10
150 65 10
150 75 10
150 85 10
150 95 10
150 105 10
150 115 10
150 125 10
150 135 10
150 145 10
70 145 10
80 145 10
90 145 10
100 145 10
110 145 10
120 145 10
130 145 10
140 145 10
70 55 10
80 55 10
90 55 10
100 55 10
110 55 10
120 55 10
130 55 10
140 55 10
50 45 10
50 55 10
50 65 10
50 75 10
50 85 10
50 95 10
50 105 10
50 115 10
50 125 10
50 135 10
50 145 10
50 155 10
60 45 10
70 45 10
80 45 10
90 45 10
100 45 10
110 45 10
120 45 10
130 45 10
140 45 10
150 45 10
140 65 10
140 75 10
140 85 10
140 95 10
140 105 10
140 115 10
140 125 10
140 135 10
150 155 10
140 155 10
130 155 10
120 155 10
110 155 10
100 155 10
90 155 10
80 155 10
70 155 10
60 155 10
40 35 10
50 35 10
60 35 10
70 35 10
80 35 10
90 35 10
100 35 10
110 35 10
120 35 10
130 35 10
140 35 10
150 35 10
160 35 10
40 165 10
50 165 10
60 165 10
70 165 10
80 165 10
90 165 10
100 165 10
110 165 10
120 165 10
130 165 10
140 165 10
150 165 10
160 165 10
40 45 10
40 55 10
40 65 10
40 75 10
40 85 10
40 95 10
40 105 10
40 115 10
40 125 10
40 135 10
40 145 10
40 155 10
160 45 10
160 55 10
160 65 10
160 75 10
160 85 10
160 95 10
160 105 10
160 115 10
160 125 10
160 135 10
160 145 10
160 155 10
