180
100 100
101 95 2
103 95 2
105 95 2
105 97 2
105 99 2
105 101 2
105 103 2
105 105 2
103 105 2
101 105 2
99 105 2
97 105 2
95 105 2
95 103 2
95 101 2
95 99 2
95 97 2
95 95 2
97 95 2
99 95 2
100 80 2
102 82 2
104 84 2
106 86 2
108 88 2
110 90 2
112 92 2
114 94 2
116 96 2
118 98 2
120 100 2
118 102 2
116 104 2
114 106 2
112 108 2
110 110 2
108 112 2
106 114 2
104 116 2
102 118 2
100 120 2
98 118 2
96 116 2
94 114 2
92 112 2
86 106 2
90 110 2
88 108 2
84 104 2
82 102 2
80 100 2
82 98 2
84 96 2
86 94 2
88 92 2
90 90 2
92 88 2
94 86 2
96 84 2
98 82 2
100 70 2
102 70 2
104 70 2
106 70 2
108 70 2
110 70 2
112 70 2
114 70 2
116 70 2
118 70 2
120 70 2
122 70 2
124 70 2
126 70 2
128 70 2
130 70 2
130 72 2
130 74 2
130 76 2
130 78 2
130 80 2
130 82 2
130 84 2
130 86 2
130 88 2
130 90 2
130 92 2
130 94 2
130 96 2
130 98 2
130 100 2
130 102 2
130 104 2
130 106 2
130 108 2
130 110 2
130 112 2
130 114 2
130 116 2
130 118 2
130 120 2
130 122 2
130 124 2
130 126 2
130 128 2
130 130 2
128 130 2
126 130 2
124 130 2
122 130 2
120 130 2
118 130 2
116 130 2
114 130 2
112 130 2
110 130 2
108 130 2
106 130 2
104 130 2
102 130 2
100 130 2
98 130 2
96 130 2
94 130 2
92 130 2
90 130 2
88 130 2
86 130 2
84 130 2
82 130 2
80 130 2
78 130 2
76 130 2
74 130 2
72 130 2
70 130 2
70 128 2
70 126 2
70 124 2
70 122 2
70 120 2
70 118 2
70 116 2
70 114 2
70 112 2
70 110 2
70 108 2
70 106 2
70 104 2
70 102 2
70 100 2
70 98 2
70 96 2
70 94 2
70 92 2
70 90 2
70 88 2
70 86 2
70 84 2
70 82 2
70 80 2
70 78 2
70 76 2
70 74 2
70 72 2
70 70 2
72 70 2
74 70 2
76 70 2
78 70 2
80 70 2
82 70 2
84 70 2
86 70 2
88 70 2
90 70 2
92 70 2
94 70 2
96 70 2
98 70 2
