406
100 100
60 55 10
60 65 10
60 75 10
60 85 10
60 95 10
60 105 10
60 115 10
60 125 10
60 135 10
60 145 10
150 55 10
150 65 10
150 75 10
150 85 10
150 95 10
150 105 10
150 115 10
150 125 10
150 135 10
150 145 10
70 145 10
80 145 10
90 145 10
100 145 10
110 145 10
120 145 10
130 145 10
140 145 10
70 55 10
80 55 10
90 55 10
100 55 10
110 55 10
120 55 10
130 55 10
140 55 10
50 45 10
50 55 10
50 65 10
50 75 10
50 85 10
50 95 10
50 105 10
50 115 10
50 125 10
50 135 10
50 145 10
50 155 10
60 45 10
70 45 10
80 45 10
90 45 10
100 45 10
110 45 10
120 45 10
130 45 10
140 45 10
150 45 10
140 65 10
140 75 10
140 85 10
140 95 10
140 105 10
140 115 10
140 125 10
140 135 10
150 155 10
140 155 10
130 155 10
120 155 10
110 155 10
100 155 10
90 155 10
80 155 10
70 155 10
60 155 10
40 35 10
50 35 10
60 35 10
70 35 10
80 35 10
90 35 10
100 35 10
110 35 10
120 35 10
130 35 10
140 35 10
150 35 10
160 35 10
40 165 10
50 165 10
60 165 10
70 165 10
80 165 10
90 165 10
100 165 10
110 165 10
120 165 10
130 165 10
140 165 10
150 165 10
160 165 10
40 45 10
40 55 10
40 65 10
40 75 10
40 85 10
40 95 10
40 105 10
40 115 10
40 125 10
40 135 10
40 145 10
40 155 10
160 45 10
160 55 10
160 65 10
160 75 10
160 85 10
160 95 10
160 105 10
160 115 10
160 125 10
160 135 10
160 145 10
160 155 10
30 35 10
30 45 10
30 55 10
30 65 10
30 75 10
30 85 10
30 95 10
30 105 10
30 115 10
30 125 10
30 135 10
30 145 10
30 155 10
30 165 10
30 175 10
170 35 10
170 45 10
170 55 10
170 65 10
170 75 10
170 85 10
170 95 10
170 105 10
170 115 10
170 125 10
170 135 10
170 145 10
170 155 10
170 165 10
170 175 10
30 25 10
40 25 10
50 25 10
60 25 10
70 25 10
80 25 10
90 25 10
100 25 10
110 25 10
120 25 10
130 25 10
140 25 10
150 25 10
160 25 10
170 25 10
40 175 10
50 175 10
60 175 10
70 175 10
80 175 10
90 175 10
100 175 10
110 175 10
120 175 10
130 175 10
140 175 10
150 175 10
160 175 10
20 15 10
20 25 10
20 35 10
20 45 10
20 55 10
20 65 10
20 75 10
20 85 10
20 95 10
20 105 10
20 115 10
20 125 10
20 135 10
20 145 10
20 155 10
20 165 10
20 175 10
20 185 10
180 15 10
180 25 10
180 35 10
180 45 10
180 55 10
180 65 10
180 75 10
180 85 10
180 95 10
180 105 10
180 115 10
180 125 10
180 135 10
180 145 10
180 155 10
180 165 10
180 175 10
180 185 10
30 15 10
40 15 10
50 15 10
60 15 10
70 15 10
80 15 10
90 15 10
100 15 10
110 15 10
120 15 10
130 15 10
140 15 10
150 15 10
160 15 10
170 15 10
30 185 10
40 185 10
50 185 10
60 185 10
70 185 10
80 185 10
90 185 10
100 185 10
110 185 10
120 185 10
130 185 10
140 185 10
150 185 10
160 185 10
170 185 10
10 5 10
10 15 10
10 25 10
10 35 10
10 45 10
10 55 10
10 65 10
10 75 10
10 85 10
10 95 10
10 105 10
10 115 10
10 125 10
10 135 10
10 145 10
10 155 10
10 165 10
10 175 10
10 185 10
10 195 10
190 15 10
190 25 10
190 35 10
190 45 10
190 55 10
190 65 10
190 75 10
190 85 10
190 95 10
190 105 10
190 115 10
190 125 10
190 135 10
190 145 10
190 155 10
190 165 10
190 175 10
190 185 10
20 5 10
30 5 10
40 5 10
50 5 10
60 5 10
70 5 10
80 5 10
90 5 10
100 5 10
110 5 10
120 5 10
130 5 10
140 5 10
150 5 10
160 5 10
170 5 10
180 5 10
190 5 10
20 195 10
30 195 10
40 195 10
50 195 10
60 195 10
70 195 10
80 195 10
90 195 10
100 195 10
110 195 10
120 195 10
130 195 10
140 195 10
150 195 10
160 195 10
170 195 10
180 195 10
190 195 10
0 -5 10
0 5 10
0 15 10
0 25 10
0 35 10
0 45 10
0 55 10
0 65 10
0 75 10
0 85 10
0 95 10
0 105 10
0 115 10
0 125 10
0 135 10
0 145 10
0 155 10
0 165 10
0 175 10
0 185 10
0 195 10
0 205 10
200 -5 10
200 5 10
200 15 10
200 25 10
200 35 10
200 45 10
200 55 10
200 65 10
200 75 10
200 85 10
200 95 10
200 105 10
200 115 10
200 125 10
200 135 10
200 145 10
200 155 10
200 165 10
200 175 10
200 185 10
200 195 10
200 205 10
10 -5 10
20 -5 10
30 -5 10
40 -5 10
50 -5 10
60 -5 10
70 -5 10
80 -5 10
90 -5 10
100 -5 10
110 -5 10
120 -5 10
130 -5 10
140 -5 10
150 -5 10
160 -5 10
170 -5 10
180 -5 10
190 -5 10
10 205 10
20 205 10
30 205 10
40 205 10
50 205 10
60 205 10
70 205 10
80 205 10
90 205 10
100 205 10
110 205 10
120 205 10
130 205 10
140 205 10
150 205 10
160 205 10
170 205 10
180 205 10
190 205 10
